Id,pub_title,dataset_title,dataset_label,cleaned_label
d0fa7568-7d8e-4db9-870f-f9c6f668c17b,The Impact of Dual Enrollment on College Degree Attainment: Do Low-SES Students Benefit?,National Education Longitudinal Study,National Education Longitudinal Study,national education longitudinal study
2f26f645-3dec-485d-b68d-f013c9e05e60,Educational Attainment of High School Dropouts 8 Years Later. Issue Brief. NCES 2005-026.,National Education Longitudinal Study,National Education Longitudinal Study,national education longitudinal study
c5d5cd2c-59de-4f29-bbb1-6a88c7b52f29,Differences in Outcomes for Female and Male Students in Special Education,National Education Longitudinal Study,National Education Longitudinal Study,national education longitudinal study
5c9a3bc9-41ba-4574-ad71-e25c1442c8af,Stepping Stone and Option Value in a Model of Postsecondary Education,National Education Longitudinal Study,National Education Longitudinal Study,national education longitudinal study
c754dec7-c5a3-4337-9892-c02158475064,"Parental Effort, School Resources, and Student Achievement",National Education Longitudinal Study,National Education Longitudinal Study,national education longitudinal study
81b5f874-9b42-4d4f-8c50-b4bab24f8aed,The Gender Gap Reloaded: Are School Characteristics Linked to Labor Market Performance?,National Education Longitudinal Study,National Education Longitudinal Study,national education longitudinal study
f35fdfa6-a3f9-4ef3-a858-c8e2efcd2349,The High School Environment and the Gender Gap in Science and Engineering,National Education Longitudinal Study,National Education Longitudinal Study,national education longitudinal study
1b21f60a-4022-4b19-95ce-6fd7157d4aa9,Examining Latinos Involvement in the Workforce and Postsecondary Technical Education in the United States,National Education Longitudinal Study,National Education Longitudinal Study,national education longitudinal study
e5a4c6af-0854-4f7e-b088-06f03c18a01a,"Locus of Control and Peer Relationships Among Caucasian, Hispanic, Asian, and African American Adolescents",National Education Longitudinal Study,National Education Longitudinal Study,national education longitudinal study
4e18b1c7-e195-46e2-af0f-78757259f0c6,The Role of Research in Catholic Education,National Education Longitudinal Study,National Education Longitudinal Study,national education longitudinal study
e27b58cf-5453-4493-8ec4-f7cd892e8624,"A Teacher Like Me: Does Race, Ethnicity, or Gender Matter?",National Education Longitudinal Study,National Education Longitudinal Study,national education longitudinal study
630de001-fa5b-4973-ba3f-52f6f1f4dc2d,"Students Whose Parents Did Not Go to College: Postsecondary Access, Persistence, and Attainment",National Education Longitudinal Study,National Education Longitudinal Study,national education longitudinal study
d5ff0ecd-ccf5-4f8a-a09c-182376eed4d0,Beyond the Laboratory: Evaluating the Survey Evidence for the Disidentification Explanation of Black-White Differences in Achievement,National Education Longitudinal Study,National Education Longitudinal Study,national education longitudinal study
e977a870-0067-4221-8423-5ff349510222,"High School Environments, STEM Orientations, and the Gender Gap in Science and Engineering Degrees",National Education Longitudinal Study,National Education Longitudinal Study,national education longitudinal study
7a2d20d9-fe83-4d24-b4ce-992f92f21bd2,Immigrant educators and students’ academic achievement,National Education Longitudinal Study,National Education Longitudinal Study,national education longitudinal study
65731d69-af28-47af-8d29-a72b4a430e37,Teacher Gender and Student Performance In Mathematics. Evidence from Catalonia,National Education Longitudinal Study,National Education Longitudinal Study,national education longitudinal study
a8c7306f-908c-4d44-92b1-2afb2e066808,Demographic Differences in Patterns of Youth Out-of-School Time Activity Participation,National Education Longitudinal Study,National Education Longitudinal Study,national education longitudinal study
2f9d8444-9034-4ecb-a836-b1c473b9c457,"Examining Gaps in Mathematics Achievement Among Racial-Ethnic Groups, 1972-1992",National Education Longitudinal Study,National Education Longitudinal Study,national education longitudinal study
f5cffcf3-bcc6-4ab0-8203-851a17df96bf,Science Magazine,National Education Longitudinal Study,National Education Longitudinal Study,national education longitudinal study
a3c998b6-ea9d-4542-9267-68f718247ff5,Who Values Access to College,National Education Longitudinal Study,National Education Longitudinal Study,national education longitudinal study
1b282315-96f9-469b-b417-be0f46e4db0a,"The Relationship between Personal Factors, Facebook Intensity and Academic Performance of Youth Students in Libya☆",National Education Longitudinal Study,National Education Longitudinal Study,national education longitudinal study
0ebdaf88-543a-4d88-9185-a24f8dc1e4cf,Grade Inflation,National Education Longitudinal Study,National Education Longitudinal Study,national education longitudinal study
5e7bcd3c-665c-4541-bbbd-089abb1b11ae,Rhetorical Variation of RA Abstracts between Experts and Chinese Undergraduates,National Education Longitudinal Study,National Education Longitudinal Study,national education longitudinal study
5fa574e1-b2b8-4e12-a55b-efe965abd28c,Teachers and the Gender Gaps in Student Achievement. NBER Working Paper No. 11660.,National Education Longitudinal Study,National Education Longitudinal Study,national education longitudinal study
e32d24d8-bc41-401c-b49d-99b93c2d4533,Teachers and the Gender Gaps in Student Achievement,National Education Longitudinal Study,National Education Longitudinal Study,national education longitudinal study
c2e40467-7a53-4cee-b49d-052517d2774e,Data: sources and definitions,National Education Longitudinal Study,National Education Longitudinal Study,national education longitudinal study
f5cbbb74-6f6b-4f66-b86d-a6b22b8a1f45,DIFFERENCES IN COLLEGE ACCESS AND CHOICE AMONG RACIAL/ETHNIC GROUPS: Identifying Continuing Barriers,National Education Longitudinal Study,National Education Longitudinal Study,national education longitudinal study
e956b279-e6af-4ae4-aa76-27a41fc1d438,"Youth smoking, cigarette prices, and anti-smoking sentiment",National Education Longitudinal Study,National Education Longitudinal Study,national education longitudinal study
e35b2d52-c21d-4b9d-9bae-42eb491c49d1,Predictive Power of Selected Variables on Students' Academic Achievement in Integrated Science,National Education Longitudinal Study,National Education Longitudinal Study,national education longitudinal study
71ed23ed-a26d-4db3-9650-4e1be78c69a0,The Effect Of Primary School Size On Learning Mandarin As A Second Language: An Empirical Research On Ethnic Minority Students In China,National Education Longitudinal Study,National Education Longitudinal Study,national education longitudinal study
