"product_name","product_price","product_price_range","product_type","product_body","product_variety","product_country","product_region","product_size","product_vintage","product_closure","product_seller","product_rating"
"2024 M&J Becker Wines Hunter Valley Chardonnay","Sale price
$32.00","$31 to $40","White","Body","Chardonnay","Australia","Hunter Valley","750ml","2024","Cork","Hunter Valley",""
"2024 Mercer Wines Chardonnay","Sale price
$28.00","$30 or Less","White","Body","Chardonnay","Australia","Hunter Valley","13%","750ml","2024","Hunter Valley",""
"2024 Mercer Wines PF Pinot Gris","Sale price
$24.00","$30 or Less","White","Body","Pinot Gris/Grigio","Australia","Hilltops","750ml","2024","Screw Cap","Hilltops",""
"2023 Mercer Wines Montepulciano","Sale price
$32.00","$31 to $40","","Body","Montepulciano","Australia","Central Ranges","Halliday Wine Companion","92","14%","Central Ranges",""
"2023 Express Winemakers Drinking Wine Red","Sale price
$28.00","$30 or Less","","Body","Shiraz","Australia","Great Southern","Natural/Lo-Fi","750ml","2023","Great Southern",""
"2024 Mitchell Watervale Riesling","Sale price
$20.00","$30 or Less","White","Body","Riesling","","","SA","High Score","James Suckling
Wine Pilot
The Real Review
The Wine Front
Halliday Wine Companion","Clare Valley",""
"Discover Unico Zelo Wines Pack","Sale price
$135.00","$30 or Less","","Australian State","","","","","","","",""
"2025 Mercer Wines Bianco Vermentino","Sale price
$29.00","$30 or Less","White","Body","Vermentino","Australia","Hunter Valley","750ml","2025","Screw Cap","Hunter Valley",""
"2025 Nick Spencer Gundagai Rose","Sale price
$26.00","$30 or Less","Rosé","Body","Grenache","","","NSW","The Wine Front","93","Gundagai",""
"Garagiste Wines Masterclass Pack","Sale price
$249.00","$41 to $50","","Region","","","","","","","Mornington Peninsula",""
"2023 Head Old Vine Grenache","Sale price
$39.00","$31 to $40","","Body","Grenache","Australia","Barossa Valley","The Vintage Journal","96","14%","Barossa Valley",""
"2022 Scarborough Yellow Label Chardonnay","Sale price
$23.00","$30 or Less","White","Body","Chardonnay","Australia","Hunter Valley","Wine Pilot","90","13%","Hunter Valley",""
"Discover Gentle Folk Wines Pack","Sale price
$219.00","Australia","Adelaide Hills","Australian State","","","","","","","Adelaide Hills",""
"2024 Chatto Lutruwita Pinot Noir","Sale price
$44.00","$41 to $50","","Body","Pinot Noir","Australia","Tasmania","The Real Review","94","13%","Tasmania",""
"2022 Head Red GSM","Sale price
$25.00","$30 or Less","","Body","Grenache","","","SA","Halliday Wine Companion","93","Barossa Valley",""
"2024 The Other Wine Co Sangiovese","Sale price
$28.00","$30 or Less","","Body","Sangiovese","Australia","Adelaide Hills","750ml","2024","Screw Cap","Adelaide Hills",""
"2024 Dominique Portet Fontaine Cabernets","Sale price
$28.00","$30 or Less","","Body","Cabernet Sauvignon","","","VIC","Halliday Wine Companion","95","Yarra Valley",""
"2024 Mercer Wines PF Fizz","Sale price
$24.00","$30 or Less","Sparkling","Sub Type","","Chardonnay","","NSW","Vegan
Low Preservative","12%","Central Ranges",""
"2024 Fighting Gully Road Sangiovese","Sale price
$35.00","$31 to $40","","Body","Sangiovese","Australia","Beechworth","High Score","Halliday Wine Companion","96","Beechworth",""
"2023 Jean Foillard Morgon Cote du Py","Sale price
$99.00","$101 and Above","","Body","Gamay","France","Beaujolais","Vinous","94","750ml","Beaujolais",""
"2024 Giant Steps Yarra Valley Pinot Noir","Sale price
$38.00","$31 to $40","","Body","Pinot Noir","Australia","Yarra Valley","Women in Wine
High Score","Halliday Wine Companion
The Wine Front","95
93","Yarra Valley",""
"2023 Dune The Empty Quarter GSM","Sale price
$25.00","$30 or Less","","Body","Grenache","","","SA","The Wine Front
Halliday Wine Companion","94
95","McLaren Vale",""
"2024 Tar & Roses Pinot Grigio","Sale price
$20.00","$30 or Less","White","Body","Pinot Gris/Grigio","Australia","King Valley","Women in Wine","Halliday Wine Companion","96","King Valley",""
